SHOP NAME,LOCATION,Latitude,Longitude,Sales Exec Name,Average 30 days Sale,Average Payment Cycle (days),MOBILE NO,SHOP SIZE,NO OF SKU,Volume  (4/10),Credit Cycle (4/10),Location (1/10),SKUS (1/10),Total,quality,Color,hov_text
AVDESH FRUITS,TELIWARA SHAHDARA ,28.67208561,77.28998912,Naveen,75000,1,7417031735,4*6,8,2,4,0,1,7,B,green,AVDESH FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
SONU FRUITS,TEJAB MILL SHAHDARA,28.672113,77.28877878,Naveen,75000,1,8851354365,6*8,6,2,4,0,1,7,B,green,SONU FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
JOGENDER FRUITS,TEJAB MILL SHAHDARA,28.672113,77.28877878,Naveen,75000,1,8860419183,6*8,15,2,4,0,1,7,B,green,JOGENDER FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
VASIM FRUITS,NAVEEN SHAHDARA,28.67623647,77.28299762,Naveen,75000,1,9599300362,10*10,10,2,4,0,1,7,B,green,VASIM FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
MULLA JI FRUITS,SHAHDARA METRO,28.67357235,77.28990146,Naveen,75000,1,7042425034,6*8,12,2,4,0,1,7,B,green,MULLA JI FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
VARIS FRUITS,SHAHDARA METRO,28.67357235,77.28990146,Naveen,75000,1,9818744895,4*6,8,2,4,0,1,7,B,green,VARIS FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
AHSAN FRUITS,CHOTA BAJAAR SHAHDARA,28.67002296,77.29307544,Naveen,75000,1,9891262895,6*6,15,2,4,0,1,7,B,green,AHSAN FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
FAIZAN FRUITS,NAVEEN SHAHDARA,28.67623647,77.28299762,Naveen,75000,1,7623072353,4*6,10,2,4,0,1,7,B,green,FAIZAN FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
GULFAM FRUITS,CHOTA BAJAAR SHAHDARA,28.67006532,77.29346168,Naveen,60000,1,7065806074,6*8,10,1,4,0,1,6,B,green,GULFAM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
SALMAN FRUITS,CHOTA BAJAAR SHAHDARA,28.66955228,77.29358506,Naveen,60000,1,8826519265,8*10,10,1,4,0,1,6,B,green,SALMAN FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
MD VASIM FRUITS,NAVEEN SHAHDARA,28.67614234,77.28230025,Naveen,60000,1,9971150536,4*6,15,1,4,0,1,6,B,green,MD VASIM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
SHAMIM FRUITS,NAVEEN SHAHDARA,28.67634942,77.28166724,Naveen,60000,1,8130546030,4*6,20,1,4,0,1,6,B,green,SHAMIM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
